time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-01-09T02:29:26.690Z,28.225,88.163,79.1,5.5,mb,,,,1,us,usp0004417,2020-08-28T23:19:14.448Z,western Xizang,earthquake,,,,53,reviewed,us,us
1990-01-10T23:01:21.960Z,26.559,86.663,68.5,4.7,mb,,,,1.4,us,usp000443p,2014-11-07T00:45:31.693Z,Nepal-India border region,earthquake,,11.6,,4,reviewed,us,us
1990-01-30T15:06:26.080Z,28.599,85.714,52.4,4.5,mb,,,,1.5,us,usp00044wj,2014-11-07T00:45:36.100Z,Xizang-Nepal border region,earthquake,,17.7,,3,reviewed,us,us
1990-02-09T15:51:23.020Z,29.925,80.73,33,4.6,mb,,,,1,us,usp000458a,2014-11-07T00:45:41.243Z,Nepal-India border region,earthquake,,,,15,reviewed,us,us
1990-02-21T07:21:17.300Z,28.082,82.43,33,4.8,mb,,,,1.2,us,usp00045qv,2014-11-07T00:45:47.214Z,Nepal,earthquake,,,,7,reviewed,us,us
1990-05-20T09:10:02.320Z,28.458,83.343,33,4.8,mb,,,,0.8,us,usp00049hx,2014-11-07T00:46:23.236Z,Nepal,earthquake,,,,27,reviewed,us,us
1990-05-20T18:01:57.390Z,28.26,83.193,62.1,4.5,mb,,,,0.8,us,usp00049jd,2014-11-07T00:46:23.435Z,Nepal,earthquake,,20.2,,6,reviewed,us,us
1990-12-20T17:04:44.080Z,28.138,82.944,66.8,4.8,mb,,,,1.2,us,usp0004jd6,2014-11-07T00:47:38.223Z,Nepal,earthquake,,8.8,,9,reviewed,us,us
1991-03-15T04:28:16.300Z,28.317,87.683,42.6,4.6,mb,,,,1.2,us,usp0004p2m,2014-11-07T00:48:12.158Z,western Xizang,earthquake,,16.7,,7,reviewed,us,us
1991-05-26T05:29:14.870Z,29.34,80.332,64.9,4.5,mb,,,,1,us,usp0004s37,2014-11-07T00:48:37.438Z,Nepal-India border region,earthquake,,10.8,,19,reviewed,us,us
1991-05-27T21:06:57.360Z,29.349,80.304,52.6,4.6,mb,,,,1,us,usp0004s5j,2014-11-07T00:48:37.709Z,Nepal-India border region,earthquake,,8.6,,19,reviewed,us,us
1991-06-10T21:30:11.950Z,29.266,80.281,58.1,4.6,mb,,,,1.2,us,usp0004sry,2014-11-07T00:48:44.091Z,Nepal-India border region,earthquake,,10.8,,11,reviewed,us,us
1991-12-09T01:02:46.510Z,29.543,81.632,29.4,5.6,mb,,,,0.9,us,usp0005071,2020-08-29T01:09:17.319Z,Nepal,earthquake,,,,96,reviewed,us,us
1991-12-21T19:52:45.500Z,27.904,88.139,57.1,4.9,mb,,,,1.2,us,usp00050rs,2014-11-07T00:49:46.277Z,"Sikkim, India",earthquake,,8.9,,27,reviewed,us,us
1992-01-30T05:55:47.870Z,29.291,81.128,33,4.6,mb,,,,1.3,us,usp00052e2,2014-11-07T00:49:57.682Z,Nepal,earthquake,,,,6,reviewed,us,us
1992-04-04T17:43:20.710Z,28.147,87.979,33,4.9,mb,,,,1.1,us,usp00055b6,2014-11-07T00:50:24.619Z,western Xizang,earthquake,,,,41,reviewed,us,us
1992-06-02T22:07:45.370Z,28.984,81.913,56.3,5.2,mb,,,,1,us,usp00058kj,2014-11-07T00:50:46.775Z,Nepal-India border region,earthquake,,,,88,reviewed,us,us
1992-06-13T15:40:05.410Z,28.945,82.927,32.9,4.9,ms,,,,1.1,us,usp000591s,2014-11-07T00:50:49.685Z,Nepal,earthquake,,,,2,reviewed,us,us
